NAME,TEAM,HOMERUN,STRIKEOUT
최정,21S3B,20,54
피렐라,21삼DH,20,45
양의지,21NDH,20,30
알테어,21NCF,18,81
로맥,21S1B,18,60
나성범,21NRF,17,68
양석환,21두1B,16,73
박동원,21키C,16,69
김재환,21두LF,16,62
노시환,21한3B,13,82
추신수,21SDH,13,69
한유섬,21SRF,13,60
오재일,21삼1B,12,58
채은성,21LRF,12,42
김현수,21LDH,12,26
구자욱,21삼RF,11,55
강민호,21삼C,11,31
박병호,21키1B,10,69
한동희,21롯3B,10,57
강백호,21K1B,10,45
박석민,21N3B,10,43
최주환,21S2B,10,40
이대호,21롯DH,10,22
페르난데스,21두DH,10,19
정훈,21롯1B,9,45
장성우,21KC,9,31
라모스,21L1B,8,43
이형종,21LLF,8,35
권희동,21NLF,8,24
힐리,21한1B,7,58
알몬테,21KLF,7,49
이원석,21삼3B,7,41
황재균,21K3B,7,35
정의윤,21SLF,7,34
문보경,21L1B,7,30
노진혁,21NSS,6,58
박경수,21K2B,6,46
박준영,21N3B,6,43
김강민,21SCF,6,30
최형우,21KDH,6,28
배정대,21KCF,5,62
오지환,21LSS,5,42
김민성,21L3B,5,41
김인태,21두RF,5,36
유강남,21LC,5,36
터커,21KLF,5,34
안치홍,21롯2B,5,32
김병희,21K3B,5,14
하주석,21한SS,4,74
정은원,21한2B,4,57
전병우,21키3B,4,56
박해민,21삼CF,4,46
서건창,21키2B,4,43
심우준,21KSS,4,38
최재훈,21한C,4,37
김준태,21롯C,4,35
조한민,21한RF,4,34
마차도,21롯SS,4,34
최지훈,21SCF,4,34
지시완,21롯C,4,33
강진성,21N1B,4,33
전준우,21롯LF,4,32
오태곤,21SLF,4,32
추재현,21롯CF,4,28
황대인,21K1B,4,26
김호령,21KCF,4,26
허경민,21두3B,4,19
김태군,21NC,4,16
김성현,21SSS,4,15
김혜성,21키SS,3,60
김웅빈,21키3B,3,51
송우현,21키RF,3,49
홍창기,21LCF,3,44
이학주,21삼SS,3,37
정주현,21L2B,3,32
이재원,21SC,3,30
이정후,21키CF,3,22
김헌곤,21삼LF,3,19
김민수,21삼C,3,8
윤형준,21N1B,3,6
김민수,21롯2B,2,39
장승현,21두C,2,36
강승호,21두2B,2,36
안재석,21두SS,2,35
이정훈,21KDH,2,33
박건우,21두CF,2,32
김민식,21KC,2,29
프레이타스,21키DH,2,29
이명기,21NLF,2,27
문상철,21KDH,2,27
박계범,21두2B,2,27
이흥련,21SC,2,24
김선빈,21K2B,2,22
이천웅,21LCF,2,22
오윤석,21롯1B,2,21
이진영,21KCF,2,19
강로한,21롯CF,2,18
김수환,21키1B,2,17
정진기,21SNLF,2,16
송준석,21삼LF,2,13
허도환,21KC,2,4
최인호,21한LF,2,5
임종찬,21한RF,1,41
박찬호,21KSS,1,39
유장혁,21한CF,1,39
손아섭,21롯RF,1,38
이성열,21한DH,1,36
김민하,21한RF,1,35
최원준,21KRF,1,35
노수광,21한CF,1,34
박성한,21SSS,1,33
한승택,21KC,1,31
배성근,21롯SS,1,27
이홍구,21KC,1,27
김상수,21삼2B,1,26
정수빈,21두CF,1,23
박민우,21N2B,1,23
김동엽,21삼DH,1,23
권동진,21KSS,1,22
나승엽,21롯1B,1,21
김지찬,21삼SS,1,21
김재호,21두SS,1,19
김찬형,21NS3B,1,18
김휘집,21키3B,1,17
김태훈,21KRF,1,14
유한준,21KDH,1,12
김재성,21LC,1,11
강태율,21롯C,1,10
이영빈,21LSS,1,10
김재유,21롯CF,1,10
오준혁,21SDH,1,9
도태훈,21N3B,1,8
최영진,21삼3B,1,7
이주형,21키DH,1,6
신용수,21롯CF,1,4
정범모,21NC,1,4
백용환,21K한C,1,4
김주성,21L3B,1,3
박승규,21삼CF,1,2
